creating ./logs/logs-2023-03-16Salinas.txt
---------------------------------------------------------------------
-----------------------------Next run log----------------------------
---------------------------2023-03-16:11:10--------------------------
---------------------------------------------------------------------
Computation on CUDA GPU device 0
Load train_gt successfully!(PATH:../dataset/Salinas/0.05/train_gt.npy)
2706 samples selected for training(over 54129)
Training Percentage:0.05
Load train_gt successfully!(PATH:../dataset/Salinas/0.05/test_gt.npy)
51423 samples selected for training(over 54129)
RUN:0
2706 samples selected for training(over 54129)
51423 samples selected for training(over 54129)
RUN:0
Train dataloader:38
Validation dataloader:77
----------Training parameters----------
dataset:Salinas
folder:../dataset/
cuda:0
run:1
sampling_mode:random
training_percentage:0.1
validation_percentage:0.1
train_gt:False
test_gt:False
load_data:0.05
sample_nums:20
epoch:100
save_epoch:20
patch_size:15
lr:0.0001
batch_size:64
class_balancing:True
test_stride:1
n_classes:17
n_bands:204
ignored_labels:[0]
device:cuda:0
weights:tensor([0.0000, 1.1700, 0.6290, 1.1818, 1.6714, 0.8731, 0.5909, 0.6536, 0.2074,
        0.3774, 0.7134, 2.2075, 1.2188, 2.5435, 2.1667, 0.3223, 1.3000],
       device='cuda:0')
---------- pretrain model training----------
Epoch [1/100]    avg_loss:7.411480
Epoch [2/100]    avg_loss:7.263203
Epoch [3/100]    avg_loss:6.082771
Epoch [4/100]    avg_loss:6.307174
Epoch [5/100]    avg_loss:5.252535
Epoch [6/100]    avg_loss:5.242603
Epoch [7/100]    avg_loss:5.463233
Epoch [8/100]    avg_loss:5.464439
Epoch [9/100]    avg_loss:5.269366
Epoch [10/100]    avg_loss:5.045723
Epoch [11/100]    avg_loss:4.828228
Epoch [12/100]    avg_loss:4.655848
Epoch [13/100]    avg_loss:4.571242
Epoch [14/100]    avg_loss:4.505559
Epoch [15/100]    avg_loss:4.494872
Epoch [16/100]    avg_loss:4.434134
Epoch [17/100]    avg_loss:4.463375
Epoch [18/100]    avg_loss:4.425302
Epoch [19/100]    avg_loss:4.392572
Epoch [20/100]    avg_loss:4.357222
Epoch [21/100]    avg_loss:4.347684
Epoch [22/100]    avg_loss:4.312145
Epoch [23/100]    avg_loss:4.245154
Epoch [24/100]    avg_loss:4.248809
Epoch [25/100]    avg_loss:4.171663
Epoch [26/100]    avg_loss:4.144740
Epoch [27/100]    avg_loss:4.076797
Epoch [28/100]    avg_loss:4.064471
Epoch [29/100]    avg_loss:3.974577
Epoch [30/100]    avg_loss:3.965108
Epoch [31/100]    avg_loss:3.917746
Epoch [32/100]    avg_loss:3.883514
Epoch [33/100]    avg_loss:3.868632
Epoch [34/100]    avg_loss:3.844726
Epoch [35/100]    avg_loss:3.797033
Epoch [36/100]    avg_loss:3.770018
Epoch [37/100]    avg_loss:3.743434
Epoch [38/100]    avg_loss:3.684809
Epoch [39/100]    avg_loss:3.685743
